爱;ài;to love
八;bā;eight
爸爸;bà ba;father
杯子;bēi zi;cup
北京;běi jīng;Beijing
本;běn;volume (of books）
不客气;bú kè qì;you’re welcome
不;bù;no
菜;cài;dish
茶;chá;tea
吃;chī;to eat
出租车;chū zū chē;taxi
打电话;dǎ diàn huà;to make a phone call
大;dà,"big; large"
的;de;to indicate possession
点;diǎn;o’clock
电脑;diàn nǎo;computer
电视;diàn shì;television
电影;diàn yǐng;movie
东西;dōng xi,"thing; stuff"
都;dōu,"both; all"
读;dú;to read
对不起;duì bu qǐ;sorry
多;duō,"many; much"
多少;duō shao,"how many; how much"
儿子;ér zi;son
二;èr;two
饭店;fàn diàn;restaurant
飞机;fēi jī;airplane
高兴;gāo xìng;happy
个;gè;measure word
工作;gōng zuò,"to work; job"
狗;gǒu;dog
汉语;hàn yǔ;Chinese language
好;hǎo,"good; nice"
喝;hē;to drink
和;hé;and
很;hěn;very
后面;hòu mian;back
回;huí;to return
会;huì,"can; know how to"
火车站;huǒ chē zhàn;railway station
几;jǐ;how many
岁;suì,"years; age"
家;jiā;home
叫;jiào;to call
今天;jīn tiān;today
九;jiǔ;nine
开;kāi;to open
看;kān;to look at
看见;kàn jiàn;to see
块;kuài;piece
来;lái;to come
老师;lǎo shī;teacher
冷;lěng;cold
里;lǐ;inside
零;líng;zero
六;liù;six
妈妈;mā ma;mother
吗;ma;question marker
买;mǎi;to buy
猫;māo;cat
没;méi;not
没关系;méi guān xi;it doesn’t matter
米饭;mǐ fàn;rice
名字;míng zi;name
明天;míng tiān;tomorrow
哪儿;nǎ’er;where
那;nà;that
呢;ne;particle for suggestion
能;néng;to be able to
你;nǐ;you (singular)
你们;nǐ men;you (plural)
年;nián;year
女儿;nǚ ‘ ér;daughter
朋友;péng you;friend
苹果;píng guǒ;apple
七;qī;seven
钱;qián;money
前面;qián mian;front
请;qǐng;please
去;qù;to go
热;rè;hot
人;rén;people
认识;rèn shi;to know
日;rì;day
三;sān;three
商店;shāng diàn;shop
上;shàng;above
上午;shàng wǔ;morning
少;shǎo;few (not much/many)
什么;shén me;what
十;shí;ten
时候;shí hou;a point of time
是;shì;to be
书;shū;book
谁;shuí;who
水;shuǐ;water
水果;shuǐ guǒ;fruit
睡觉;shuìjiào;to sleep
说话;shuō huà,"to say; to speak"
四;sì;four
他;tā,"he; him"
她;tā,"she; her"
他们;tā men,"they; them"
她们;tā men,"they; them"
太;tài;too
天气;tiān qì;weather
听;tīng;to listen
同学;tóng xué;classmate
我;wǒ,"I; me"
我们;wǒ men,"we; us"
五;wǔ;five
喜欢;xǐ huan;to like
下;xià;below
下午;xià wǔ;afternoon
下雨;xià yǔ;to rain
先生;xiān sheng;mister
现在;xiàn zài;now
想;xiǎng;to think
小;xiǎo,"small; little"
小姐;xiǎo jie;miss
些;xiē;a few
写;xiě;to write
谢谢;xiè xie;thanks
星期;xīng qī;week
学生;xué sheng;student
学习;xué xí;to study
学校;xué xiào;school
一;yī;one
衣服;yī fu;clothing
医生;yī shēng;doctor
医院;yī yuàn;hospital
椅子;yǐ zi;chair
有;yǒu;to have
月;yuè;month
在;zài;at
再见;zài jiàn;good-bye
怎么;zěn me;how
怎么样;zěn me yàng;how about
这;zhè;this
中国;zhōng guó;China
中午;zhōng wǔ;noon
住;zhù;to live
桌子;zhuō zi;table
字;zì;Chinese character
昨天;zuó tiān;yesterday
做;zuò;to do
坐;zuò;to sit
