阿姨;āyí;aunt or maid
啊;a;exclamatory particle
;;
矮;ǎi;short (in height)
;;
爱;ài;to love
;;
爱好;àihào;hobby
安静;ānjìng;quiet
;;
八;bā;eight
把;bǎ;indicate the result of an action
;;
爸爸;bàba;dad
吧;ba;question particle
;;
白;bái;white
;;
百;bǎi;hundred
班;bān;class
搬;bān;to move
;;
办法;bànfǎ;method
办公室;bàngōngshì;office
;;
半;bàn;half
帮忙;bāngmáng;to help
;;
帮助;bāngzhù;to help
;;
包;bāo;bag
饱;bǎo;full
;;
报纸;bàozhǐ;newspaper
杯子;bēizi ;cup or glass
北方;běifāng;north or northern China
;;
北京;Běijīng;Beijing
;;
被;bèi;by
;;
本;běn;for books
;;
鼻子;bízi;nose
比;bǐ;than
;;
比较;bǐjiào;to compare
;;
比赛;bǐsài;match
必须;bìxū;must
;;
变化;biànhuà;to change
;;
便宜;piányi;cheap
;;
表示;biǎoshì;to express
;;
表演;biǎoyǎn;to perform
;;
别;bié;don’t…
;;
别人;biéren;other people
宾馆;bīngguǎn;hotel
;;
冰箱;bīngxiāng;refrigerator
不;bù;not
;;
不客气;bú kèqi ;you’re welcome
;;
才;cái;just
;;
菜;cài;dish
菜单;càidān;menu
参加;cānjiā;to attend
;;
草;cǎo;grass
层;céng;floor
;;
茶  ;chá;tea
差;chà;bad (in quality)
;;
唱歌;chàng gē;to sing
;;
超市;chāoshì;supermarket
;;
衬衫;chènshān;shirt
成绩;chéngjì;score
城市;chéngshì;city
;;
吃;chī;to eat
;;
迟到;chídào;to be late
;;
出;chū;to go out of
;;
出现;chūxiàn;to appear
;;
出租车;chūzūchē;taxi
除了;chúle;besides or except
;;
厨房;chúfáng;kitchen
;;
穿;chuān;to wear
;;
船;chuán;boat
春;chūn;spring
词语;cíyǔ;word
次;cì;time (frequency of an act)
;;
聪明;cōngming;smart
;;
从 ;cóng;from
;;
错;cuò;wrong
;;
打电话;dǎ diànhuà;to make a phone call
;;
打篮球;dǎ lánqiú;to play basketball
;;
打扫;dǎsǎo;to clean
;;
打算;dǎsuàn;to plan
;;
大;dà;big
;;
大家;dàjiā;everybody
带;dài;to bring
;;
担心;dānxīn;to worry
;;
但是;dànshì;but
;;
蛋糕;dàngāo;cake
当然;dāngrán;of course
;;
到;dào;until, to have done
;;
得;de;structure particle
;;
地;de;structure particle
;;
地方;dìfāng;place
;;
地铁;dìtiě;metro
地图;dìtú;map
的;de;possession particle
;;
灯;dēng;light
等;děng;to wait
;;
低;dī;low
;;
弟弟;dìdi;younger brother
第一;dì-yī;first
点;diǎn;o’clock
电脑;diànnǎo;computer
电视;diànshì;TV
电梯;diàntī;elevator
电影;diànyǐng ;movie
电子邮件;diànzǐ yóujiàn;email
东;dōng;east
;;
东西  ;dōngxi;thing
冬;dōng;winter
懂;dǒng ;to understand
;;
动物;dòngwù;animal
都;dōu;both or all
;;
读;dú;to read
;;
短;duǎn;short
;;
段;duàn;span of time or distance
;;
锻炼;duànliàn;to work out
;;
对;duì;right
;;
对不起;duìbuqǐ;sorry
;;
多;duō;many
;;
多么;duōme;how…
;;
多少;duōshao;how many or how much
饿;è;hungry
;;
儿子;érzi;son
而且;érqiě;moreover
;;
耳朵;ěrduo;ear
二;èr;two
发烧;fāshāo;to have a fever
;;
发现;fāxiàn;to discover
;;
饭馆;fànguǎn;restaurant
;;
方便;fāngbiàn;convenient
;;
房间;fángjiān;room
;;
放;fàng;to put
;;
放心;fàngxīn;to rest assured
;;
飞机;fēijī ;plane
非常;fēicháng;extremely
;;
分;fēn;to divide or separate
;;
分钟;fēnzhōng;minute
服务员;fúwùyuán;waiter or waitress
附近;fùjìn;surrounding area
;;
复习;fùxí;to review
;;
敢;gǎn;to dare
;;
感冒;gǎnmào;to have a cold
;;
干净;gānjìng;clean
;;
刚才;gāngcái;just now
高;gāo;tall or high
;;
高兴;gāoxìng;happy
;;
告诉;gàosù;to tell
;;
哥哥;gēge;elder brother
个;gè;generic measure word
;;
给;gěi;to encounter
;;
根据;gēnjù;according to
;;
跟;gēn;with
;;
更;gèng;more
;;
工作;gōngzuò ;to work
;;
公共汽车;gōnggòng qìchē;bus
公斤;gōngjīn;kilo
;;
