安慰;ānwèi;comfort
岸;àn;bank
岸上;àn shàng;"ashore; shore; bank"
按摩;ànmó;massage
拔;bá;"pluck; pull out; draw; select; choose; extract"
白酒;bái jiǔ;"Chinese Baijiu; liquor and spirits"
拜访;bàifǎng;visit
版;bǎn;"printing plate; edition; version"
扮演;bànyǎn;Play the role
棒;bàng;stick；excellent
包围;bāowéi;Surround
包装;bāozhuāng;"pack; put up; make up"
保卫;bǎowèi;Defend
保养;bǎoyǎng;maintain
报答;bàodá;"reciprocate; pay back; repay"
报警;bàojǐng;call the police
抱怨;bàoyuàn;Complain
背包;bēi bāo;"backpack; knapsack; rucksack; infantry pack"
悲剧;bēi jù;tragedy
悲伤;bēi shāng;"sad; sorrowful"
北极;běijí;arctic
被动;bèidòng;passive
辈;bèi;"generation; lifetime"
本人;běnrén;oneself
鼻子;bízi;nose
比方;bǐfāng;Example
比重;bǐzhòng;"specific gravity; proportion"
彼此;bǐcǐ;each other
必;bì;"must; certainly; necessarily"
必需;bì xū;"essential; indispensable"
毕竟;bìjìng;after all
闭幕;bì mù;"close; conclude; lower the curtain"
闭幕式;bì mù shì;closing ceremony
边境;biānjìng;"border; frontier"
编辑;biānjí;edit
编辑;biānji;editor
变动;biàn dòng;"change; alteration; variation"
便利;biànlì;facilitate
便条;biàntiáo;Note
便于;biànyú;Easy to
宾馆;bīnguǎn;hotel
饼;bǐng;"cake; cookie; pastry; round flat cake"
饼干;bǐnggān;Biscuits
病毒;bìngdú;virus
玻璃;bōli;Glass
博客;bó kè;blog
博览会;bólǎnhuì;exposition
博士;bóshì;doctor
博物馆;bówùguǎn;Museum
薄弱;bóruò;weak
不顾;búgù;disregard
不利;bú lì;"unfavourable; disadvantageous; harmful; detrimental"
不耐烦;búnàifán;Impatient
不幸;bú xìng;"misfortune; unfortunat; unfortunately"
不易;bú yì;"not easy; difficult; tough"
补偿;bǔcháng;compensate
补贴;bǔtiē;subsidy
不曾;bù céng;never
不得了;búdéliǎo;Very
不敢当;bùgǎndāng;I really don’t deserve this.
不良;bù liáng;"bad; harmful; unhealthy"
不免;bùmiǎn;unavoidable
不能不;bù néng bù;"have to; cannot but"
不时;bùshí;now and then
不停;bù tíng;"without stop; non-stop"
不许;bù xǔ;"not allow; must not; can’t"
不止;bùzhǐ;more than
不足;bùzú;insufficient
部位;bùwèi;"part; section"
猜;cāi;guess
猜测;cāi cè;"guess; conjecture; surmise"
裁判;cáipàn;Referee
采购;cǎigòu;Purchase
彩票;cǎipiào;lottery
餐馆;cān guǎn;restaurant
餐厅;cāntīng;Restaurant
餐饮;cān yǐn;"catering; repast"
草原;cǎo yuán;"grasslands; prairie"
册;cè;book (measure word)
层次;céngcì;"gradation; arrangement"
叉;chā;"fork; cross"
叉子;chāzi;Fork
差别;chābié;difference
差距;chājù;"disparity; distance"
插;chā;insert
查询;chá xún;"inquire; demand"
差（一）点儿;chā（yì）diǎnr;"almost; nearly"
拆;chāi;Remove
拆除;chāi chú;"tear down; demolish; dismantle; remove"
产业;chǎnyè;industry
长度;cháng dù;"length; extent"
长寿;cháng shòu;"long life; longevity"
肠;cháng;"intestine; bowel; intestinal"
尝;cháng;taste
尝试;chángshì;attempt
厂长;chǎng zhǎng;"factory director; plant manager"
场面;chǎngmiàn;scene
倡导;chàngdǎo;Advocate
超越;chāoyuè;Transcend
车主;chē zhǔ;car owner
称²（动）;chēng;"call; say; name; commend; weigh"
称号;chēnghào;Title
成本;chéngběn;cost
成交;chéngjiāo;Deal
成效;chéngxiào;Results, effects
成语;chéngyǔ;idiom
