幾;いく-, いく.つ, いく.ら, キ;how many, how much, how far, how long
眺;なが.める, チョウ;stare, watch, look at, see, scrutinize
唐;から, トウ;T'ang, China
亘;わた.る, もと.める, コウ, カン;span, request
呉;く.れる, くれ, ゴ;give, do something for
凡;およ.そ, おうよ.そ, すべ.て, ボン, ハン;mediocre
憩;いこ.い, いこ.う, ケイ;recess, rest, relax, repose
媛;ひめ, エン;beautiful woman, princess
溝;みぞ, コウ;gutter, ditch, sewer, drain, 10**32
恭;うやうや.しい, キョウ;respect, reverent
刈;か.る, ガイ, カイ;reap, cut, clip, trim, prune
睡;スイ;drowsy, sleep, die
錯;サク, シャク;confused, mix, be in disorder
伯;ハク;chief, count, earl, uncle, Brazil
笹;ささ;bamboo grass, (kokuji)
穀;コク;cereals, grain
陵;みささぎ, リョウ;mausoleum, imperial tomb
霧;きり, ム, ボウ, ブ;fog, mist
魂;たましい, たま, コン;soul, spirit
弊;ヘイ;abuse, evil, vice, breakage
妃;きさき, ヒ;queen, princess
舶;ハク;liner, ship
餓;う.える, ガ;starve, hungry, thirst
窮;きわ.める, きわ.まる, きわ.まり, きわ.み, キュウ, キョウ;hard up, destitute, suffer, perplexed, cornered
掌;てのひら, たなごころ, ショウ;manipulate, rule, administer, conduct, palm of hand
麗;うるわ.しい, うら.らか, レイ;lovely, beautiful, graceful, resplendent
綾;あや, リン;design, figured cloth, twill
臭;くさ.い, -くさ.い, にお.う, にお.い, シュウ;stinking, ill-smelling, suspicious looking, odor, savor, fragrance, be fragrant, stink, glow, be bright
悦;よろこ.ぶ, よろこ.ばす, エツ;ecstasy, joy, rapture
刃;は, やいば, き.る, ジン, ニン;blade, sword, edge
縛;しば.る, バク;truss, arrest, bind, tie, restrain
暦;こよみ, りゃく, レキ;calendar, almanac
宜;よろ.しい, よろ.しく, ギ;best regards, good
盲;めくら, モウ;blind, blind man, ignoramus
粋;いき, スイ;chic, style, purity, essence, pith, cream, elite, choice
辱;はずかし.める, ジョク;embarrass, humiliate, shame
毅;つよ.い, キ, ギ;strong
轄;くさび, カツ;control, wedge
猿;さる, エン;monkey
弦;つる, ゲン;bowstring, chord, hypotenuse
稔;みの.る, みのり, ネン, ジン, ニン;harvest, ripen
窒;チツ;plug up, obstruct
炊;た.く, -だ.き, スイ;cook, boil
洪;コウ;deluge, flood, vast
飽;あ.きる, あ.かす, あ.く, ホウ;sated, tired of, bored, satiate
冗;ジョウ;superfluous, uselessness
桃;もも, トウ;peach tree
狩;か.る, か.り, -が.り, シュ;hunt, raid, gather
朱;あけ, シュ;vermilion, cinnabar, scarlet, red, bloody
渦;うず, カ;whirlpool, eddy, vortex
紳;シン;sire, good belt, gentleman
枢;とぼそ, からくり, スウ, シュ;hinge, pivot, door
碑;いしぶみ, ヒ;tombstone, monument
鍛;きた.える, タン;forge, discipline, train
刀;かたな, そり, トウ;sword, saber, knife
鼓;つづみ, コ;drum, beat, rouse, muster
裸;はだか, ラ;naked, nude, uncovered, partially clothed
猶;なお, ユウ, ユ;furthermore, still, yet
塊;かたまり, つちくれ, カイ, ケ;clod, lump, chink, clot, mass
旋;セン;rotation, go around
弓;ゆみ, キュウ;bow, bow (archery, violin)
幣;ぬさ, ヘイ;cash, bad habit, humble prefix, gift, Shinto offerings of cloth, rope, cut paper
膜;マク;membrane
扇;おうぎ, セン;fan, folding fan
腸;はらわた, チョウ;intestines, guts, bowels, viscera
槽;ふね, ソウ;vat, tub, tank
慈;いつく.しむ, ジ;mercy
楊;かわ, やなぎ, ヨウ;willow
伐;き.る, そむ.く, う.つ, バツ, ハツ, カ, ボチ;fell, strike, attack, punish
駿;すぐ.れる, シュン, スン;a good horse, speed, a fast person
漬;つ.ける, つ.かる, -づ.け, -づけ, シ;pickling, soak, moisten, steep
糾;ただ.す, キュウ;twist, ask, investigate, verify
